schema dungeon-v2-traversal-v1
player-movement-policy 9

goal crown west 3 solved
pair owb ceiling ceiling 2 solved
pair owb ceiling ceiling 3 solved
pair owb ceiling east 0 solved
pair owb ceiling east 1 solved
pair owb ceiling east 2 solved
pair owb ceiling east 3 solved
pair owb ceiling floor 0 inconclusive
pair owb ceiling floor 1 inconclusive
pair owb ceiling floor 2 solved
pair owb ceiling floor 3 solved
pair owb east ceiling 0 inconclusive
pair owb east ceiling 1 solved
pair owb east ceiling 2 solved
pair owb east ceiling 3 solved
pair owb east east 0 solved
pair owb east east 1 solved
pair owb east east 2 solved
pair owb east east 3 solved
pair owb east floor 0 solved
pair owb east floor 1 solved
pair owb east floor 2 solved
pair owb east floor 3 solved
pair owb floor ceiling 0 inconclusive
pair owb floor ceiling 1 inconclusive
pair owb floor ceiling 2 solved
pair owb floor ceiling 3 solved
pair owb floor east 0 solved
pair owb floor east 1 solved
pair owb floor east 2 solved
pair owb floor east 3 solved
pair owb floor floor 0 solved
pair owb floor floor 1 solved
pair owb floor floor 2 solved
pair owb floor floor 3 solved
pair owc ceiling ceiling 0 solved
pair owc ceiling ceiling 1 solved
pair owc ceiling ceiling 2 solved
pair owc ceiling ceiling 3 solved
pair owc ceiling floor 0 solved
pair owc ceiling floor 1 solved
pair owc ceiling floor 2 solved
pair owc ceiling floor 3 solved
pair owc ceiling west 0 solved
pair owc ceiling west 1 solved
pair owc ceiling west 2 solved
pair owc ceiling west 3 solved
pair owc floor ceiling 0 inconclusive
pair owc floor ceiling 1 solved
pair owc floor ceiling 2 solved
pair owc floor ceiling 3 solved
pair owc floor floor 0 solved
pair owc floor floor 1 solved
pair owc floor floor 2 solved
pair owc floor floor 3 solved
pair owc floor west 0 solved
pair owc floor west 1 solved
pair owc floor west 2 solved
pair owc floor west 3 solved
pair owc west ceiling 0 inconclusive
pair owc west ceiling 1 solved
pair owc west ceiling 2 solved
pair owc west ceiling 3 solved
pair owc west floor 0 solved
pair owc west floor 1 solved
pair owc west floor 2 solved
pair owc west floor 3 solved
pair owc west west 0 solved
pair owc west west 1 solved
pair owc west west 2 solved
pair owc west west 3 solved
pair s1 ceiling ceiling 0 solved
pair s1 ceiling ceiling 1 solved
pair s1 ceiling ceiling 2 solved
pair s1 ceiling ceiling 3 solved
pair s1 ceiling east 0 solved
pair s1 ceiling east 1 solved
pair s1 ceiling east 2 solved
pair s1 ceiling east 3 solved
pair s1 ceiling floor 0 solved
pair s1 ceiling floor 1 solved
pair s1 ceiling floor 2 solved
pair s1 ceiling floor 3 solved
pair s1 east ceiling 0 solved
pair s1 east ceiling 1 solved
pair s1 east ceiling 2 solved
pair s1 east ceiling 3 solved
pair s1 east east 0 solved
pair s1 east east 1 solved
pair s1 east east 2 solved
pair s1 east east 3 solved
pair s1 east floor 0 solved
pair s1 east floor 1 solved
pair s1 east floor 2 solved
pair s1 east floor 3 solved
pair s1 floor ceiling 0 solved
pair s1 floor ceiling 1 solved
pair s1 floor ceiling 2 solved
pair s1 floor ceiling 3 solved
pair s1 floor east 0 solved
pair s1 floor east 1 solved
pair s1 floor east 2 solved
pair s1 floor east 3 solved
pair s1 floor floor 0 solved
pair s1 floor floor 1 solved
pair s1 floor floor 2 solved
pair s1 floor floor 3 solved
pair sb ceiling ceiling 0 solved
pair sb ceiling ceiling 1 solved
pair sb ceiling ceiling 2 solved
pair sb ceiling ceiling 3 solved
pair sb ceiling east 0 solved
pair sb ceiling east 1 solved
pair sb ceiling east 2 solved
pair sb ceiling east 3 solved
pair sb ceiling floor 0 solved
pair sb ceiling floor 1 solved
pair sb ceiling floor 2 solved
pair sb ceiling floor 3 solved
pair sb east ceiling 0 solved
pair sb east ceiling 1 solved
pair sb east ceiling 2 solved
pair sb east ceiling 3 solved
pair sb east east 0 solved
pair sb east east 1 solved
pair sb east east 2 solved
pair sb east east 3 solved
pair sb east floor 0 solved
pair sb east floor 1 solved
pair sb east floor 2 solved
pair sb east floor 3 solved
pair sb floor ceiling 0 solved
pair sb floor ceiling 1 solved
pair sb floor ceiling 2 solved
pair sb floor ceiling 3 solved
pair sb floor east 0 solved
pair sb floor east 1 solved
pair sb floor east 2 solved
pair sb floor east 3 solved
pair sb floor floor 0 solved
pair sb floor floor 1 solved
pair sb floor floor 2 solved
pair sb floor floor 3 solved
pair sha ceiling ceiling 0 solved
pair sha ceiling ceiling 1 solved
pair sha ceiling ceiling 2 solved
pair sha ceiling ceiling 3 solved
pair sha ceiling floor 0 solved
pair sha ceiling floor 1 solved
pair sha ceiling floor 2 solved
pair sha ceiling floor 3 solved
pair sha floor ceiling 0 solved
pair sha floor ceiling 1 solved
pair sha floor ceiling 2 solved
pair sha floor ceiling 3 solved
pair sha floor floor 0 solved
pair sha floor floor 1 solved
pair sha floor floor 2 solved
pair sha floor floor 3 solved
pair shb ceiling ceiling 0 solved
pair shb ceiling ceiling 1 solved
pair shb ceiling ceiling 2 solved
pair shb ceiling ceiling 3 solved
pair shb ceiling floor 0 solved
pair shb ceiling floor 1 solved
pair shb ceiling floor 2 solved
pair shb ceiling floor 3 solved
pair shb floor ceiling 0 inconclusive
pair shb floor ceiling 1 solved
pair shb floor ceiling 2 solved
pair shb floor ceiling 3 solved
pair shb floor floor 0 solved
pair shb floor floor 1 solved
pair shb floor floor 2 solved
pair shb floor floor 3 solved
pair ssc ceiling ceiling 0 solved
pair ssc ceiling ceiling 1 solved
pair ssc ceiling ceiling 2 solved
pair ssc ceiling ceiling 3 solved
pair ssc ceiling east 0 solved
pair ssc ceiling east 1 solved
pair ssc ceiling east 2 solved
pair ssc ceiling east 3 solved
pair ssc ceiling floor 0 solved
pair ssc ceiling floor 1 solved
pair ssc ceiling floor 2 solved
pair ssc ceiling floor 3 solved
pair ssc east ceiling 0 solved
pair ssc east ceiling 1 solved
pair ssc east ceiling 2 solved
pair ssc east ceiling 3 solved
pair ssc east east 0 solved
pair ssc east east 1 solved
pair ssc east east 2 solved
pair ssc east east 3 solved
pair ssc east floor 0 inconclusive
pair ssc east floor 1 solved
pair ssc east floor 2 solved
pair ssc east floor 3 solved
pair ssc floor ceiling 0 solved
pair ssc floor ceiling 1 solved
pair ssc floor ceiling 2 solved
pair ssc floor ceiling 3 solved
pair ssc floor east 0 inconclusive
pair ssc floor east 1 inconclusive
pair ssc floor east 2 solved
pair ssc floor east 3 solved
pair ssc floor floor 0 solved
pair ssc floor floor 1 solved
pair ssc floor floor 2 solved
pair ssc floor floor 3 solved
pair swa ceiling ceiling 0 solved
pair swa ceiling ceiling 1 solved
pair swa ceiling ceiling 2 solved
pair swa ceiling ceiling 3 solved
pair swa ceiling west 0 solved
pair swa ceiling west 1 solved
pair swa ceiling west 2 solved
pair swa ceiling west 3 solved
pair swa west ceiling 0 solved
pair swa west ceiling 1 solved
pair swa west ceiling 2 solved
pair swa west ceiling 3 solved
pair swa west west 0 solved
pair swa west west 1 solved
pair swa west west 2 solved
pair swa west west 3 solved
pair t1 ceiling ceiling 0 solved
pair t1 ceiling ceiling 1 solved
pair t1 ceiling ceiling 2 solved
pair t1 ceiling ceiling 3 solved
pair t1 ceiling floor 0 solved
pair t1 ceiling floor 1 solved
pair t1 ceiling floor 2 solved
pair t1 ceiling floor 3 solved
pair t1 floor ceiling 0 solved
pair t1 floor ceiling 1 solved
pair t1 floor ceiling 2 solved
pair t1 floor ceiling 3 solved
pair t1 floor floor 0 solved
pair t1 floor floor 1 solved
pair t1 floor floor 2 solved
pair t1 floor floor 3 solved
pair tb ceiling ceiling 0 solved
pair tb ceiling ceiling 1 solved
pair tb ceiling ceiling 2 solved
pair tb ceiling ceiling 3 solved
pair tb ceiling floor 0 solved
pair tb ceiling floor 1 solved
pair tb ceiling floor 2 solved
pair tb ceiling floor 3 solved
pair tb floor ceiling 0 solved
pair tb floor ceiling 1 solved
pair tb floor ceiling 2 solved
pair tb floor ceiling 3 solved
pair tb floor floor 0 solved
pair tb floor floor 1 solved
pair tb floor floor 2 solved
pair tb floor floor 3 solved
pair tcb east east 0 solved
pair tcb east east 1 solved
pair tcb east east 2 solved
pair tcb east east 3 solved
pair tcb east west 0 solved
pair tcb east west 1 solved
pair tcb east west 2 solved
pair tcb east west 3 solved
pair tcb west east 0 solved
pair tcb west east 1 solved
pair tcb west east 2 solved
pair tcb west east 3 solved
pair tcb west west 0 solved
pair tcb west west 1 solved
pair tcb west west 2 solved
pair tcb west west 3 solved
pair tsc ceiling ceiling 0 solved
pair tsc ceiling ceiling 1 solved
pair tsc ceiling ceiling 2 solved
pair tsc ceiling ceiling 3 solved
pair tsc ceiling floor 0 solved
pair tsc ceiling floor 1 solved
pair tsc ceiling floor 2 solved
pair tsc ceiling floor 3 solved
pair tsc floor ceiling 0 inconclusive
pair tsc floor ceiling 1 solved
pair tsc floor ceiling 2 solved
pair tsc floor ceiling 3 solved
pair tsc floor floor 0 solved
pair tsc floor floor 1 solved
pair tsc floor floor 2 solved
pair tsc floor floor 3 solved
pair wg east east 0 solved
pair wg east east 1 solved
pair wg east east 2 solved
pair wg east east 3 solved
pair wg east west 0 inconclusive
pair wg east west 1 solved
pair wg east west 2 solved
pair wg east west 3 solved
pair wg west east 0 inconclusive
pair wg west east 1 solved
pair wg west east 2 inconclusive
pair wg west east 3 solved
pair wg west west 0 solved
pair wg west west 1 solved
pair wg west west 2 solved
pair wg west west 3 solved
pickup bv east winged-boots 1 solved
pickup bv floor winged-boots 1 solved
pickup ob east climbing-gloves 0 solved
pickup ob west climbing-gloves 0 solved
